PR Number,Commit Count
1,1
2,4
3,3
6,11
8,9
10,1
11,27
12,3
13,11
14,2
15,2
16,4
18,49
19,1
20,2
21,1
22,6
23,6
24,2
25,2
26,5
27,7
28,1
29,4
30,1
31,21
32,1
33,3
34,4
35,1
36,3
37,1
38,1
39,4
41,9
42,1
46,40
48,1
50,1
51,1
52,3
53,34
54,1
57,3
60,1
61,1
62,10
63,1
64,1
66,1
67,1
68,9
69,9
70,13
71,3
72,1
74,18
75,1
76,4
77,2
78,1
79,1
80,2
81,36
82,4
83,1
84,1
87,2
92,3
99,1
107,81
108,58
116,2
117,7
118,14
121,2
128,2
130,1
135,2
139,1
143,1
145,1
158,1
161,5
163,1
172,1
173,2
177,1
179,5
183,2
192,1
193,10
196,2
205,4
206,1
221,1
230,2
231,1
232,1
250,3
261,1
263,1
264,1
270,2
273,1
275,1
276,2
286,6
300,4
323,1
325,2
329,5
340,1
352,1
362,1
375,1
385,1
390,1
418,6
433,1
495,1
496,1
497,2
501,1
502,1
523,1
589,1
591,819
592,1
594,3
596,1
597,3
598,3
600,3
602,5
603,1
610,2
611,7
612,1
613,2
614,3
615,4
616,1
617,7
618,1
619,1
633,1
635,1
636,4
637,90
638,5
639,3
641,2
651,4
662,2
665,2
682,1
694,3
701,4
706,1
707,1
728,4
734,2
735,1
736,4
737,3
738,2
739,2
740,2
742,1
746,1
754,7
756,1
765,10
766,2
768,1
769,6
773,3
774,1
778,1
779,3
783,4
784,6
786,2
787,41
788,3
799,19
821,8
824,2
825,4
826,3
831,6
833,9
834,40
835,1
836,7
842,1
843,1
853,19
864,2
871,1
872,4
874,3
879,4
880,8
881,16
887,2
888,2
889,1
904,26
905,13
907,1
927,13
959,1
962,1
964,1
966,3
967,5
968,5
969,1
972,3
980,9
981,27
982,1
985,1
986,2
987,1
997,8
1010,5
1092,10
1102,1
1138,1
1185,1
1204,10
1209,1
1216,1
1251,1
1252,1
1255,11
1260,2
1276,7
1333,1
1338,1
1339,1
1341,1
1343,1
1360,2
1361,2
1381,1
1399,3
1402,1
1425,2
1426,1
1435,1
1437,1
1439,1
1443,1
1445,1
1449,1
1450,1
1458,1
1463,1
1464,1
1468,1
1469,1
1470,1
1473,1
1474,1
1475,1
1477,1
1482,1
1484,1
1485,1
1486,1
1488,1
1489,1
1490,1
