PR Number,Developer Count
1,2
2,2
3,2
6,1
8,1
10,2
11,1
12,2
13,3
14,1
15,2
16,2
18,4
19,2
20,2
21,2
22,1
23,2
24,1
25,2
26,1
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
41,2
42,1
46,3
48,1
50,1
51,1
52,2
53,4
54,1
57,1
60,1
61,1
62,1
63,1
64,2
66,1
67,1
68,3
69,2
70,2
71,1
72,1
74,2
75,1
76,1
77,1
78,1
79,1
80,1
81,2
82,1
83,1
84,1
87,1
92,2
99,1
107,3
108,3
116,1
117,2
118,4
121,2
128,2
130,2
135,2
139,2
143,2
145,1
158,3
161,2
163,4
172,1
173,1
177,1
179,2
183,1
192,1
193,3
196,2
205,2
206,2
221,2
230,1
231,2
232,3
250,2
261,3
263,1
264,1
270,2
273,1
275,1
276,2
286,2
300,1
323,3
325,2
329,2
340,2
352,2
362,3
375,2
385,2
390,2
418,2
433,3
495,1
496,1
497,2
501,3
502,2
523,1
589,1
591,13
592,1
594,1
596,1
597,1
598,1
600,1
602,1
603,1
610,1
611,1
612,1
613,3
614,1
615,1
616,1
617,2
618,1
619,1
633,1
635,1
636,1
637,14
638,1
639,1
641,1
651,2
662,1
665,1
682,1
694,1
701,1
706,2
707,2
728,1
734,1
735,2
736,2
737,1
738,1
739,1
740,2
742,2
746,1
754,1
756,3
765,1
766,1
768,1
769,3
773,1
774,1
778,2
779,2
783,1
784,4
786,2
787,3
788,1
799,2
821,2
824,2
825,2
826,2
831,2
833,1
834,3
835,1
836,1
842,1
843,1
853,3
864,2
871,2
872,3
874,2
879,1
880,2
881,2
887,1
888,1
889,1
904,3
905,1
907,1
927,1
959,2
962,2
964,2
966,1
967,2
968,2
969,2
972,1
980,1
981,3
982,1
985,1
986,2
987,2
997,1
1010,2
1092,1
1102,2
1138,2
1185,2
1204,1
1209,1
1216,2
1251,1
1252,2
1255,1
1260,2
1276,1
1333,2
1338,0
1339,1
1341,0
1343,2
1360,2
1361,1
1381,0
1399,1
1402,0
1425,1
1426,1
1435,0
1437,0
1439,3
1443,0
1445,0
1449,0
1450,0
1458,0
1463,0
1464,0
1468,0
1469,0
1470,0
1473,0
1474,0
1475,0
1477,0
1482,0
1484,2
1485,0
1486,0
1488,0
1489,0
1490,0
